# Alert applicability: the systems each declaration's rule covers.
# Each cell is Y where the declaration applies and . where it does not.
# Generated by test_applicability_matrix.py -- do not edit by hand.
#
# Kinds: class  -- the class applies: displayed, sent, and offered in the catalogue
#        listed -- the class is offered in the settings catalogue, which listed_only_when narrows
#        source -- the source's rule admits this system. Whether it is actually ran also
#                  turns on gates this matrix does not model: post_failover_blackout,
#                  require_stable_peer, the source's schedule, and source locks.
#
# Populations:
#   G    GENERIC     unlicensed            whitebox, unlicensed
#   C0   MINI        unlicensed            Mini, unlicensed
#   C    MINI        licensed              Mini with a MINI-R license
#   A    TRUENAS_HW  unlicensed            iX appliance reading MANUAL, unlicensed (R-series)
#   B    TRUENAS_HW  licensed              iX appliance with a FREENAS-CERTIFIED license
#   Di   GENERIC     licensed              whitebox with a transplanted M50 license
#   HA   TRUENAS_HW  licensed   ha_capable iX appliance with an HA license

DECLARATION                                 KIND    G   C0  C   A   B   Di  HA
LicenseIsExpiring                           class   .   .   Y   Y   Y   Y   Y
LicenseIsExpiring                           listed  .   .   Y   Y   Y   Y   Y
LicenseStatus                               source  .   .   Y   Y   Y   Y   Y
LocalAccountExpired                         class   Y   Y   Y   Y   Y   Y   Y
LocalAccountExpired                         listed  Y   Y   Y   Y   Y   Y   Y
LocalAccountExpiring                        class   Y   Y   Y   Y   Y   Y   Y
LocalAccountExpiring                        listed  Y   Y   Y   Y   Y   Y   Y
MemoryErrors                                class   .   Y   Y   Y   Y   .   Y
MemoryErrors                                listed  .   Y   Y   Y   Y   .   Y
MemoryErrors                                source  .   Y   Y   Y   Y   .   Y
MemorySizeMismatch                          class   .   .   .   Y   Y   .   Y
MemorySizeMismatch                          listed  .   .   .   .   .   .   Y
MemorySizeMismatch                          source  .   .   .   Y   Y   .   Y
NFSBindAddress                              class   Y   Y   Y   Y   Y   Y   Y
NFSBindAddress                              listed  Y   Y   Y   Y   Y   Y   Y
NFSHostListExcessive                        class   Y   Y   Y   Y   Y   Y   Y
NFSHostListExcessive                        listed  Y   Y   Y   Y   Y   Y   Y
NFSHostnameLookupFail                       class   Y   Y   Y   Y   Y   Y   Y
NFSHostnameLookupFail                       listed  Y   Y   Y   Y   Y   Y   Y
NFSNetworkListExcessive                     class   Y   Y   Y   Y   Y   Y   Y
NFSNetworkListExcessive                     listed  Y   Y   Y   Y   Y   Y   Y
NFSblockedByExportsDir                      class   Y   Y   Y   Y   Y   Y   Y
NFSblockedByExportsDir                      listed  Y   Y   Y   Y   Y   Y   Y
NFSexportMappingInvalidNames                class   Y   Y   Y   Y   Y   Y   Y
NFSexportMappingInvalidNames                listed  Y   Y   Y   Y   Y   Y   Y
NTLMv1Authentication                        class   Y   Y   Y   Y   Y   Y   Y
NTLMv1Authentication                        listed  Y   Y   Y   Y   Y   Y   Y
NTLMv1Authentication                        source  Y   Y   Y   Y   Y   Y   Y
NTPHealthCheck                              class   Y   Y   Y   Y   Y   Y   Y
NTPHealthCheck                              listed  Y   Y   Y   Y   Y   Y   Y
NTPHealthCheck                              source  Y   Y   Y   Y   Y   Y   Y
NVDIMM                                      class   .   .   .   Y   Y   .   Y
NVDIMM                                      listed  .   .   .   Y   Y   .   Y
NVDIMMAndBIOS                               source  .   .   .   Y   Y   .   Y
NVDIMMESLifetimeCritical                    class   .   .   .   Y   Y   .   Y
NVDIMMESLifetimeCritical                    listed  .   .   .   Y   Y   .   Y
NVDIMMESLifetimeWarning                     class   .   .   .   Y   Y   .   Y
NVDIMMESLifetimeWarning                     listed  .   .   .   Y   Y   .   Y
NVDIMMInvalidFirmwareVersion                class   .   .   .   Y   Y   .   Y
NVDIMMInvalidFirmwareVersion                listed  .   .   .   Y   Y   .   Y
NVDIMMMemoryModLifetimeCritical             class   .   .   .   Y   Y   .   Y
NVDIMMMemoryModLifetimeCritical             listed  .   .   .   Y   Y   .   Y
NVDIMMMemoryModLifetimeWarning              class   .   .   .   Y   Y   .   Y
NVDIMMMemoryModLifetimeWarning              listed  .   .   .   Y   Y   .   Y
NVDIMMRecommendedFirmwareVersion            class   .   .   .   Y   Y   .   Y
NVDIMMRecommendedFirmwareVersion            listed  .   .   .   Y   Y   .   Y
NetworkCardsMismatchOnActiveNode            class   .   .   .   Y   Y   .   Y
NetworkCardsMismatchOnActiveNode            listed  .   .   .   .   .   .   Y
NetworkCardsMismatchOnStandbyNode           class   .   .   .   Y   Y   .   Y
NetworkCardsMismatchOnStandbyNode           listed  .   .   .   .   .   .   Y
NoCriticalFailoverInterfaceFound            class   .   .   .   Y   Y   .   Y
NoCriticalFailoverInterfaceFound            listed  .   .   .   .   .   .   Y
OldBiosVersion                              class   .   .   .   Y   Y   .   Y
OldBiosVersion                              listed  .   .   .   Y   Y   .   Y
PoolUpgraded                                class   Y   Y   Y   Y   Y   Y   Y
PoolUpgraded                                listed  Y   Y   Y   Y   Y   Y   Y
PowerSupply                                 class   .   .   .   Y   Y   .   Y
PowerSupply                                 listed  .   .   .   Y   Y   .   Y
ProactiveSupport                            class   .   .   Y   .   Y   Y   Y
ProactiveSupport                            listed  .   .   Y   .   Y   Y   Y
ProactiveSupport                            source  .   .   Y   .   Y   Y   Y
Psu                                         source  .   .   .   Y   Y   .   Y
Quota                                       source  Y   Y   Y   Y   Y   Y   Y
QuotaCritical                               class   Y   Y   Y   Y   Y   Y   Y
QuotaCritical                               listed  Y   Y   Y   Y   Y   Y   Y
QuotaWarning                                class   Y   Y   Y   Y   Y   Y   Y
QuotaWarning                                listed  Y   Y   Y   Y   Y   Y   Y
Replication                                 source  Y   Y   Y   Y   Y   Y   Y
ReplicationFailed                           class   Y   Y   Y   Y   Y   Y   Y
ReplicationFailed                           listed  Y   Y   Y   Y   Y   Y   Y
ReplicationSuccess                          class   Y   Y   Y   Y   Y   Y   Y
ReplicationSuccess                          listed  Y   Y   Y   Y   Y   Y   Y
RsyncFailed                                 class   Y   Y   Y   Y   Y   Y   Y
RsyncFailed                                 listed  Y   Y   Y   Y   Y   Y   Y
RsyncSuccess                                class   Y   Y   Y   Y   Y   Y   Y
RsyncSuccess                                listed  Y   Y   Y   Y   Y   Y   Y
SATADOMWear                                 source  .   .   .   Y   Y   .   Y
SATADOMWearCritical                         class   .   .   .   Y   Y   .   Y
SATADOMWearCritical                         listed  .   .   .   Y   Y   .   Y
SATADOMWearWarning                          class   .   .   .   Y   Y   .   Y
SATADOMWearWarning                          listed  .   .   .   Y   Y   .   Y
SMART                                       source  Y   Y   Y   Y   Y   Y   Y
SMARTEraseCycleCount                        class   Y   Y   Y   Y   Y   Y   Y
SMARTEraseCycleCount                        listed  Y   Y   Y   Y   Y   Y   Y
SMARTFailedSelfTest                         class   Y   Y   Y   Y   Y   Y   Y
SMARTFailedSelfTest                         listed  Y   Y   Y   Y   Y   Y   Y
SMARTSpareBlockCount                        class   Y   Y   Y   Y   Y   Y   Y
SMARTSpareBlockCount                        listed  Y   Y   Y   Y   Y   Y   Y
SMARTUncorrectedErrors                      class   Y   Y   Y   Y   Y   Y   Y
SMARTUncorrectedErrors                      listed  Y   Y   Y   Y   Y   Y   Y
SMBAuditShareDisabled                       class   Y   Y   Y   Y   Y   Y   Y
SMBAuditShareDisabled                       listed  Y   Y   Y   Y   Y   Y   Y
SMBLegacyProtocol                           class   Y   Y   Y   Y   Y   Y   Y
SMBLegacyProtocol                           listed  Y   Y   Y   Y   Y   Y   Y
SMBLegacyProtocol                           source  Y   Y   Y   Y   Y   Y   Y
SMBPath                                     class   Y   Y   Y   Y   Y   Y   Y
SMBPath                                     listed  Y   Y   Y   Y   Y   Y   Y
SMBPath                                     source  Y   Y   Y   Y   Y   Y   Y
SMBUserMissingHash                          class   Y   Y   Y   Y   Y   Y   Y
SMBUserMissingHash                          listed  Y   Y   Y   Y   Y   Y   Y
SMBVeeamFastClone                           class   Y   Y   Y   Y   Y   Y   Y
SMBVeeamFastClone                           listed  Y   Y   Y   Y   Y   Y   Y
SSHLoginFailures                            class   Y   Y   Y   Y   Y   Y   Y
SSHLoginFailures                            listed  Y   Y   Y   Y   Y   Y   Y
SSHLoginFailures                            source  Y   Y   Y   Y   Y   Y   Y
ScrubNotStarted                             class   Y   Y   Y   Y   Y   Y   Y
ScrubNotStarted                             listed  Y   Y   Y   Y   Y   Y   Y
ScrubPaused                                 class   Y   Y   Y   Y   Y   Y   Y
ScrubPaused                                 listed  Y   Y   Y   Y   Y   Y   Y
ScrubPaused                                 source  Y   Y   Y   Y   Y   Y   Y
ScrubStarted                                class   Y   Y   Y   Y   Y   Y   Y
ScrubStarted                                listed  Y   Y   Y   Y   Y   Y   Y
SecurityLocalUserAccountExpiration          source  .   .   .   Y   Y   .   Y
Sensor                                      class   .   .   .   Y   Y   .   Y
Sensor                                      listed  .   .   .   Y   Y   .   Y
